"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Early_c2-1","dBGLF5_Late_c2-1","dBGLF5_Early_c2-2","dBGLF5_Late_c2-2","dBGLF5_Early_c2-3","dBGLF5_Late_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Early_groupMean","dBGLF5_Late_groupMean","baseMean"
NA,"BcRF1",NA,"+","chrEBV",19546.3230502565,19491.5022437625,12386.3389118596,23532.1610929163,17706.8512582916,23313.2213299617,0.344377685630777,0.235449114858344,0.291483327228396,16546.5044068025,22112.2948888802,19329.3996478414
NA,"BCRF1",NA,"+","chrEBV",661.140532958672,5007.73134077772,574.051890270029,4493.17567924072,475.173611290988,3652.80433245688,2.86649766484043,5.26385655525511e-17,1.23047910835644e-13,570.122011506563,4384.57045082511,2477.34623116583
NA,"BDLF1",NA,"-","chrEBV",110166.177756579,585646.675362881,67069.9763379439,664442.782752404,78020.857523076,585890.716075357,2.76861871382937,9.53449954282109e-16,1.39299038320616e-12,85085.6705391996,611993.39139688,348539.53096804
NA,"BDLF2",NA,"-","chrEBV",69180.7958557388,415836.522928694,46044.163112471,423146.020859968,45598.1775869359,312914.611820025,2.81812131371587,3.18997296379281e-15,4.14271155564559e-12,53607.7121850486,383965.718536229,218786.715360639
NA,"BDLF3",NA,"-","chrEBV",25384.798990205,79437.8781299647,22744.4770021609,95527.9381016732,20790.855325518,81031.1039454359,1.80414468211627,1.1641894266983e-08,4.53568200641656e-06,22973.3771059613,85332.3067256913,54152.8419158263
NA,"BDLF3.5",NA,"-","chrEBV",144491.129382972,86081.9709092224,117626.018064419,97192.431049542,156262.983519266,121692.821007123,-0.381144091772745,0.187847455342943,0.242576627781274,139460.043655552,101655.740988629,120557.892322091
NA,"BDLF4",NA,"-","chrEBV",0,7682.06750720452,0,5149.01767653813,0,543.267180643383,15.902881559,2.09129121613946e-14,2.22209197583982e-11,0,4458.11745479535,2229.05872739767
NA,"BdRF1",NA,"+","chrEBV",9197.76514743607,43348.5931407643,8395.4291638207,59393.2200764409,8471.55224443569,42211.3166928308,2.39407673354889,4.00088743455104e-13,3.59710556423327e-10,8688.24885189749,48317.709970012,28502.9794109547
NA,"BFLF1",NA,"-","chrEBV",56781.5976684737,63695.9283551641,46881.8169032268,75665.5393110188,54846.5284426118,71527.0953089371,0.340405174665793,0.212712378406603,0.268051997716051,52836.6476714374,70296.1876583733,61566.4176649054
NA,"BFLF2",NA,"-","chrEBV",130942.922264755,213525.115449913,112340.627717665,254437.350684692,117289.173170536,210380.603538092,0.806055241507249,0.00578440757439152,0.0252397364434683,120190.907717652,226114.356557566,173152.632137609
NA,"BFRF0.5",NA,"+","chrEBV",168866.152824452,95494.4989460561,132448.440871284,107537.079912733,180680.439195821,125680.096113966,-0.475772562162371,0.107575822072521,0.157404382621887,160665.010963852,109570.558324252,135117.784644052
NA,"BFRF1",NA,"+","chrEBV",60168.4715428259,182656.019555768,28050.3080442624,225609.140495668,33166.7170917915,195135.140417352,2.23525405963949,3.82841780560496e-09,1.7210210504581e-06,40461.8322262933,201133.433489596,120797.632857945
NA,"BFRF3",NA,"+","chrEBV",21263.5928731642,87149.2782948096,18537.4526517328,107097.593725975,16921.2498984553,82288.3048947447,2.20144651912824,1.32766397533023e-11,7.75886827182989e-09,18907.4318077841,92178.3923051765,55542.9120564803
NA,"BGLF1",NA,"-","chrEBV",15777.9756067212,21267.6318497843,5726.78773594068,30440.3633958528,6983.90679470616,16934.3413121835,1.08223849041788,0.00475165808241166,0.0226683182315214,9496.22337912269,22880.7788526069,16188.5011158648
NA,"BGLF2",NA,"-","chrEBV",62696.3814405999,152829.34038479,54656.7308932664,166874.077307443,58146.228642516,140023.68150299,1.3036495511232,2.25181236147131e-05,0.00139254935877654,58499.7803254608,153242.366398408,105871.073361934
NA,"BGLF3",NA,"-","chrEBV",24367.2150525307,29357.2208691079,17057.6606818491,27355.5937781927,21671.3650376059,32060.140248855,0.413205172420245,0.14813830905201,0.201839087046464,21032.0802573285,29590.9849653852,25311.5326113569
NA,"BGLF3.5",NA,"-","chrEBV",32003.1295396731,44403.3764622928,22359.1761636804,48821.2447620716,28911.9161603356,41043.9373224486,0.585182053079106,0.0435679778215818,0.0832879497511692,27758.073954563,44756.186182271,36257.130068417
NA,"BGLF4",NA,"-","chrEBV",69313.1391042652,21179.9450599014,56231.5853781327,28938.1873694157,58004.1167047495,25392.5653335103,-1.16581876190827,0.000162941198012437,0.00398421908445473,61182.9470623825,25170.2325876092,43176.5898249958
NA,"BGLF5",NA,"-","chrEBV",91876.5122227552,29797.8882567626,80577.9770290537,38059.7135070553,76285.7054911333,36468.4164040203,-1.14787714629132,0.000178671630704815,0.00420183907379856,82913.3982476474,34775.3393892794,58844.3688184634
NA,"BGRF1/BDRF1",NA,"+","chrEBV",8010.77469029049,9591.5339032723,6590.05200130484,10889.6971414997,8078.19179968841,9931.48789726058,0.354129289786825,0.201239443996001,0.256106992751008,7559.67283042791,10137.5729806775,8848.62290555272
NA,"BHLF1",NA,"-","chrEBV",1231604.24301099,1624054.51899064,709896.097029745,1917622.45276765,942168.14231421,797470.628490611,0.460874884108992,0.159633098715423,0.21355060750668,961222.827451649,1446382.5334163,1203802.68043398
NA,"BHRF1",NA,"+","chrEBV",51476.7482107113,98990.3921206454,55760.7357823578,98667.4142909149,60272.1212746909,86612.767849318,0.66651162446125,0.0198473265503732,0.0503091634614536,55836.5350892533,94756.8580869594,75296.6965881064
NA,"BILF1",NA,"-","chrEBV",4989.51331541871,4274.8360694626,3231.82409356925,5418.44109969523,5644.99154429897,8402.99021876324,0.297730055408895,0.337456073569821,0.3945335597519,4622.10965109564,6032.08912930702,5327.09939020133
NA,"BILF2-tPT2A-mScarlet-I",NA,"-","chrEBV",31598.0621373724,201313.924317311,22543.9956382433,220678.31009206,25759.9697125062,175486.814541571,2.8310659792372,2.12720034972281e-17,6.21567942189005e-14,26634.0091627073,199159.682983647,112896.846073177
NA,"BKRF2",NA,"+","chrEBV",55085.6161852969,290462.600671361,41321.982839334,294155.19366634,43850.3517582508,241823.737828603,2.5049926736463,4.2581746598914e-14,4.14746211873422e-11,46752.6502609606,275480.510722102,161116.580491531
NA,"BKRF3",NA,"+","chrEBV",87285.7217936938,54167.2174931262,81131.0227298573,86776.807248621,89155.940435323,74872.5870081134,-0.205490840599015,0.46481522780533,0.518701333556724,85857.5616529581,71938.8705832869,78898.2161181225
NA,"BKRF4",NA,"+","chrEBV",87451.571313337,276975.337819873,76982.9505486541,297628.078405301,79669.2459702351,221026.369931187,1.62436760273758,3.70956109954372e-07,7.47540519508052e-05,81367.9226107421,265209.928718787,173288.925664765
NA,"BLLF1",NA,"-","chrEBV",57530.9244798753,464392.875902055,36845.909049232,446365.929292403,41935.3850712654,336930.205046831,3.17373170247112,5.77602515955719e-19,2.25033940216348e-15,45437.4062001242,415896.336747096,230666.87147361
NA,"BLLF2",NA,"-","chrEBV",15961.3823987294,16213.6728184227,15217.7202943722,22582.5233761789,15453.4461561147,15079.7058143969,0.170913004017103,0.546176155267184,0.595106451269026,15544.1829497388,17958.6340029995,16751.4084763691
NA,"BLLF3",NA,"-","chrEBV",21451.2318046251,9344.00011003223,19142.6530740414,11481.4026982519,21548.6356258391,11992.024999123,-0.816365112165944,0.00566061977384804,0.0249101370168433,20714.1735015019,10939.142602469,15826.6580519854
NA,"BLRF1",NA,"+","chrEBV",23272.4440521453,72656.8537507846,18411.7292493278,90182.4908067519,18493.4423962111,68203.8116190601,1.85097583240839,1.28204955777313e-08,4.68268600976636e-06,20059.2052325614,77014.3853921988,48536.7953123801
NA,"BLRF2",NA,"+","chrEBV",22297.3243996704,111565.836406575,19597.2002727882,114943.085725868,16542.6614341535,82153.3716735067,2.32904737989906,5.08156628688317e-12,3.49372628006415e-09,19479.0620355374,102887.43126865,61183.2466520936
NA,"BMRF1",NA,"+","chrEBV",185378.37201411,14606.1432992378,158227.286139942,32139.8011352248,224724.37944019,38470.0982784439,-2.61780609926622,5.98612948614002e-11,3.04199484495672e-08,189443.345864748,28405.3475709689,108924.346717858
NA,"BMRF2",NA,"+","chrEBV",65347.4938936927,22815.5182842238,64512.6401878182,34363.9014644233,77620.3752107287,36462.0032457318,-1.02027722026757,0.00122271154761964,0.0118992943951527,69160.1697640799,31213.807664793,50186.9887144364
NA,"BNLF2a/b",NA,"-","chrEBV",28972.7003981039,32076.9725533425,34757.2636069547,42853.2479727184,31460.6206861486,35974.7173952209,0.173645421999344,0.512332342635892,0.563165656045172,31730.1948970691,36968.3126404272,34349.2537687482
NA,"BNRF1",NA,"+","chrEBV",36907.0414567495,136802.008318638,20528.6799261846,156354.961352992,28286.9585628053,144757.734553263,2.27814440995048,7.53760589610396e-11,3.67081407140263e-08,28574.2266485798,145971.568074965,87272.8973617722
NA,"BOLF1",NA,"-","chrEBV",5863.21906188187,15496.7298952282,3098.86598192319,15282.4463090643,8759.78868750295,22231.7515731831,1.41687174657665,0.000222976924909567,0.00483073236666755,5907.29124376934,17670.3092591585,11788.8002514639
NA,"BORF1",NA,"+","chrEBV",87899.220512992,128083.404214178,50563.4897861449,147973.687043353,121623.195338194,156824.836213181,0.624170917106865,0.0647972683720083,0.10935084092331,86695.3018791104,144293.975823571,115494.638851341
NA,"BORF2",NA,"+","chrEBV",146940.000936397,99167.2896256607,116165.988714408,133015.124969891,190326.870369781,139666.164849047,-0.227328842027116,0.430716766670794,0.486303860978385,151144.286673529,123949.526481533,137546.906577531
NA,"BPLF1",NA,"-","chrEBV",12501.6374925935,64253.6484251593,6611.43113598868,67753.7704102055,13254.7899288,81129.872590959,2.62785333869498,1.38756830309741e-12,1.0994216106748e-09,10789.286185794,71045.7638087746,40917.5249972843
NA,"BRLF1",NA,"-","chrEBV",17112.4516855439,16239.4212067272,12544.0351730379,15981.4331093534,17303.2628605413,15551.2031085825,0.00164190291755704,0.941659837613221,0.950770575503052,15653.2499063744,15924.0191415544,15788.6345239644
NA,"BRRF1",NA,"+","chrEBV",33299.9237448974,17340.9877184452,32950.3977862229,23717.0672046462,35988.4690050367,23378.5815361399,-0.589859097339351,0.0486298678660638,0.0898775926025544,34079.5968453857,21478.8788197437,27779.2378325647
NA,"BRRF2",NA,"+","chrEBV",35742.213993705,83551.7685380533,30274.8139459015,87615.0076934511,33726.021999692,71624.3329276735,1.18888731872171,0.00010359981787983,0.00319671370762805,33247.6833130995,80930.369719726,57089.0265164127
NA,"BSLF1",NA,"-","chrEBV",69026.5835868616,67651.1104128562,51640.0421414333,71846.5714685507,68079.3387684617,70021.301209395,0.120632396060472,0.65285238005527,0.692049575375113,62915.3214989188,69839.6610302673,66377.4912645931
NA,"BSRF1",NA,"+","chrEBV",5114.20230958301,11143.0715444199,4063.68118309975,12191.6554886853,5206.39135100275,11132.0281477638,1.14820221260532,0.000155230014742849,0.00397017489132594,4794.75828122851,11488.918393623,8141.83833742576
NA,"BTRF1",NA,"+","chrEBV",7874.16623341504,14994.5828803137,6357.13395256482,18565.0184852844,7073.74325097636,17206.3148319791,1.15403942064199,0.000174259081197116,0.00412743016546587,7101.68114565207,16921.9720658591,12011.8266057556
NA,"BVLF1",NA,"-","chrEBV",3694.93642645617,6932.87255634759,2516.33817172135,6357.20331730355,3748.34714241363,7192.75665482432,0.92159246397179,0.00281441173894996,0.017403830601956,3319.87391353038,6827.61084282515,5073.74237817777
NA,"BVRF1",NA,"+","chrEBV",1672.28737988113,5095.6162171048,1151.57045129051,6357.22009056173,1572.63566922043,5169.32726472875,1.81521595926494,4.1616060866637e-08,1.2472013318186e-05,1465.49783346402,5540.72119079843,3503.10951213122
NA,"BVRF2",NA,"+","chrEBV",2695.04978139171,6772.06495983973,2289.58755150608,8365.33514705109,2642.31553347605,7430.4114072349,1.46413410996177,2.61071630721677e-06,0.000354814560450577,2542.31762212461,7522.60383804191,5032.46073008326
NA,"BXLF2",NA,"-","chrEBV",40991.0280476335,116658.07891502,30093.9221276538,124979.726230686,34680.5931533759,107026.519346949,1.63210935699075,3.12222376435739e-07,6.5165270281802e-05,35255.1811095544,116221.441497552,75738.3113035531
NA,"BXRF1",NA,"+","chrEBV",1815.52378017719,4453.83392337399,1143.6289732478,5168.76451545909,1531.44968124068,5086.42605290352,1.60118901192864,1.19234689443669e-06,0.000193557645863556,1496.86747822189,4903.0081639122,3199.93782106704
NA,"BZLF1",NA,"-","chrEBV",13136.4276806101,3693.42365347619,12857.8284231449,5034.6555745438,13147.692432908,5040.26567330755,-1.40167834335891,8.16971785040751e-06,0.000754379568186361,13047.3161788876,4589.44830044252,8818.38223966507
NA,"BZLF2",NA,"-","chrEBV",6560.6201779103,64441.530384765,3401.40565031436,54302.6070586237,5287.63619050437,56934.8676260727,3.45978310850217,2.10858923556623e-21,2.46451909852981e-17,5083.22067290968,58559.6683564871,31821.4445146984
NA,"EBER1",NA,"+","chrEBV",8.22618151835385,11.6522405846234,10.0192832184994,13.4434877193303,0.964525350823972,10.4939536039525,0.317443308237481,0.375011174826081,0.431707929810621,6.40333002922576,11.8632273026354,9.13327866593059
NA,"EBER2",NA,"+","chrEBV",6.37115579452898,42.1349948629087,5.4682427865997,78.2193764868158,3.84040422138587,57.0564656529452,3.24901143615897,1.61912100589588e-07,4.07332867145967e-05,5.22660093417152,59.1369456675566,32.181773300864
NA,"EBNA1",NA,"+","chrEBV",10463.5147948751,32213.5853900288,6307.42344537514,27828.0759833351,11270.071280087,24995.389067456,1.48842530944749,1.46926059692136e-05,0.00108631073850251,9347.00317344573,28345.6834802733,18846.3433268595
NA,"EBNA2",NA,"+","chrEBV",2988.69474891986,22382.4849675782,1800.6159082843,24276.7664074076,3567.06492663043,24507.8094054947,3.01240104237712,1.33124725839354e-16,2.59326965935062e-13,2785.45852794487,23722.3535934935,13253.9060607192
NA,"EBNA3A",NA,"+","chrEBV",17988.5592062611,40328.7088286806,12847.0560513231,37460.6670836123,16956.2753960181,37983.1073176586,1.16490948607572,0.000158451661093009,0.00397227984899635,15930.6302178674,38590.8277433172,27260.7289805923
NA,"EBNA3B",NA,"+","chrEBV",2466.57298605899,11471.0677770186,1392.87520239208,10359.828749015,2254.78609257616,10311.4095868498,2.296280139028,4.74181044228774e-11,2.5191945658845e-08,2038.07809367574,10714.1020376278,6376.09006565176
NA,"EBNA3C",NA,"+","chrEBV",1125.66788576743,3216.72011132146,840.739980338266,3383.83345850901,1030.64001728756,3606.53063959996,1.66720195622491,1.79533976291273e-07,4.27622389651229e-05,999.015961131084,3402.36140314347,2200.68868213728
"ENSG00000000419","DPM1","protein_coding","-","chr20",214.665386745096,88.103576550223,322.855358711163,162.14031815998,392.371508074535,181.035127449221,-0.913680613571904,0.0117495205233201,0.0365834692429367,309.964084510265,143.759674053141,226.861879281703
"ENSG00000000457","SCYL3","protein_coding","-","chr1",106.61478188295,88.4526431730788,103.673191241085,122.94528225991,186.110944528153,125.75549458356,-0.167105816547979,0.601433347135366,0.644972287486756,132.132972550729,112.384473338849,122.258722944789
"ENSG00000000460","FIRRM","protein_coding","+","chr1",134.600998195178,67.3514151672771,239.165861508611,115.674942029907,297.019822483136,151.235466574761,-0.784675087805638,0.0337199524070389,0.0702126873837452,223.595560728975,111.420607923982,167.508084326478
"ENSG00000000938","FGR","protein_coding","-","chr1",108.40672732706,27.688520032467,136.58279753208,68.9862311768106,270.32848831235,101.343936050538,-1.07339589050865,0.0119945643867594,0.0369900972433888,171.772671057163,66.0062290866051,118.889450071884
"ENSG00000000971","CFH","protein_coding","+","chr1",21.5092864468934,42.8325279402839,28.2773882479031,75.7031509382216,35.2859156915773,91.3006937763402,1.01598490624911,0.0155466194696716,0.0436800212407505,28.3575301287912,69.9454575516152,49.1514938402032
"ENSG00000001036","FUCA2","protein_coding","-","chr6",74.7322608712372,36.7753368467358,83.2012781224089,45.2659765347333,130.753720253254,75.4765237098906,-0.640571370408336,0.0829626351799165,0.129912550908744,96.2290864156334,52.5059456971199,74.3675160563767
"ENSG00000001084","GCLC","protein_coding","-","chr6",86.7341015136516,46.6847757452059,109.308019927516,99.2412699856654,123.246125831736,86.476896985035,-0.33182678202773,0.322701188025064,0.380023323489869,106.429415757634,77.4676475719687,91.9485316648016
"ENSG00000001167","NFYA","protein_coding","+","chr6",364.956654401941,134.333207530298,422.36475853235,200.53337965172,529.419804264289,248.68391029391,-1.01040341427825,0.00348633695005636,0.0192721637927631,438.913739066193,194.516832491976,316.715285779085
"ENSG00000001460","STPG1","protein_coding","-","chr1",43.0421363631229,16.7157386848199,51.3921571664317,19.9110138521788,55.0303410859815,13.0733947459063,-1.2691934601506,0.00566386125923399,0.0249144070667774,49.8215448718454,16.5667157609683,33.1941303164068
"ENSG00000001461","NIPAL3","protein_coding","+","chr1",70.4304938718012,47.6819926792659,68.5594841360815,53.8730935747899,143.303191119026,72.7278393038759,-0.489572598556434,0.170105883977615,0.22460284875723,94.097723042303,58.0943085193106,76.0960157808068
"ENSG00000001497","LAS1L","protein_coding","-","chrX",517.84621327768,158.663868553031,490.255355587213,239.098726552362,663.887163244794,325.379562804944,-1.04327806447587,0.00276503608410701,0.0173007182821428,557.329577369896,241.047385970112,399.188481670004
"ENSG00000001561","ENPP4","protein_coding","+","chr6",44.7802047875401,54.1180003652359,82.7819225192273,35.3871324019247,98.8736421180186,75.4373170661019,-0.299260230067483,0.390541311643942,0.446507566320492,75.478589808262,54.9808166110875,65.2297032096748
"ENSG00000001626","CFTR","protein_coding","+","chr7",357.330018375115,122.951924638055,42.0146485648764,128.710578362234,63.9307536229148,105.32583556871,-0.174695850335099,0.619341678055723,0.661262014604518,154.425140187635,118.996112856333,136.710626521984
"ENSG00000001629","ANKIB1","protein_coding","+","chr7",485.645830414366,405.883374471856,523.811534603045,539.230223010293,774.26099957183,644.352873794717,-0.12715575718542,0.6682273046853,0.706681210383802,594.572788196413,529.822157092289,562.197472644351
"ENSG00000001630","CYP51A1","protein_coding","-","chr7",207.131862709908,138.832782851761,423.100638040791,154.778431309767,408.936095809204,265.904284492983,-0.70303588418718,0.046052726325369,0.0868168169824053,346.389532186634,186.50516621817,266.447349202402
"ENSG00000001631","KRIT1","protein_coding","-","chr7",298.221195416292,166.595854014925,399.269340788725,292.19458590052,549.285031555049,280.151191667477,-0.601342850589968,0.0701356507517276,0.115522193628268,415.591855920022,246.313877194308,330.952866557165
"ENSG00000002016","RAD52","protein_coding","-","chr12",44.9987566909224,20.0519937375502,31.5745150954348,26.4290232125185,80.3089215540026,58.9822035176884,-0.336768854396017,0.35763974564041,0.414486201987617,52.2940644467866,35.1544068225857,43.7242356346861
"ENSG00000002330","BAD","protein_coding","-","chr11",113.816539826544,44.0939070096504,122.846788927426,100.967489608631,156.638325175634,90.3190018165101,-0.554666832786277,0.113068977829055,0.163740578969892,131.100551309868,78.4601328115972,104.780342060733
"ENSG00000002549","LAP3","protein_coding","+","chr4",536.24037499617,154.447828772912,785.885330927125,335.893374649391,1124.00625048239,512.861187801344,-1.05525280753794,0.00714236444272464,0.0277988530158394,815.377318801894,334.400797074549,574.889057938222
"ENSG00000002586","CD99","protein_coding","+","chrX",148.014451421645,25.9339320818364,201.243780172796,67.7705307701265,308.669142849991,116.517359437886,-1.35877199853524,0.00237871825682341,0.015914401251146,219.309124814811,70.0739407632831,144.691532789047
"ENSG00000002726","AOC1","protein_coding","+","chr7",11.7580294658894,16.2251933089551,84.0866765372327,17.6698376038817,131.796619477785,65.9998195523344,-0.652201602129249,0.119357000075308,0.170605921105564,75.8804418269692,33.2982834883904,54.5893626576798
"ENSG00000002822","MAD1L1","protein_coding","-","chr7",38.2821131088614,15.3617086321821,62.3052925416186,32.6666740828666,71.1219764414462,47.9568373395439,-0.538684618116013,0.159583054591007,0.213508097763244,57.2364606973087,31.9950733515309,44.6157670244198
"ENSG00000002834","LASP1","protein_coding","+","chr17",521.40695662095,143.086053625688,720.399425662348,272.468503498202,1191.35593250809,603.518446877551,-0.984500925226865,0.015346942926678,0.0432959374672973,811.054104930464,339.691001333814,575.372553132139
"ENSG00000002919","SNX11","protein_coding","+","chr17",213.976880890186,80.0380128366681,305.502282721344,134.005532432359,456.522611920092,216.276068015998,-0.949519514701733,0.013153491188802,0.0391754485041192,325.333925177208,143.439871095008,234.386898136108
"ENSG00000002933","TMEM176A","protein_coding","+","chr7",8.16146489186422,8.80192515619902,54.3988653083269,34.6077025361804,82.5375974085968,28.1832193522317,-0.533093870598771,0.182273560477014,0.23692319560224,48.365975869596,23.8642823482037,36.1151291088999
"ENSG00000003056","M6PR","protein_coding","-","chr12",348.186201131868,204.366675443424,610.335943554961,312.05753936039,819.433402485948,417.149981003413,-0.738399123269588,0.0365481920363377,0.0741901955931111,592.651849057592,311.191398602409,451.921623830001
"ENSG00000003147","ICA1","protein_coding","-","chr7",7.43348008873542,3.81502306640191,32.2777019218886,30.7774481584246,11.9178639331941,22.3885909422172,0.0376988275114751,0.915272361859955,0.928861974943054,17.2096819812727,18.9936873890146,18.1016846851436
"ENSG00000003393","ALS2","protein_coding","-","chr2",1234.41663469503,1042.98591260089,1287.95766831659,786.004650608473,1572.97913174942,896.930905872061,-0.490694696871328,0.0912725860157964,0.139136335983731,1365.11781158701,908.640489693806,1136.87915064041
"ENSG00000003400","CASP10","protein_coding","+","chr2",91.0859406978424,61.6035735364757,130.249653421351,120.882681492384,260.555715122874,133.259252788312,-0.421760801722294,0.232896047192964,0.289061165933033,160.630436414022,105.248502605724,132.939469509873
"ENSG00000003402","CFLAR","protein_coding","+","chr2",1096.65147573072,311.79721530099,1748.57366228813,697.754745325481,2964.76265996685,1344.5319121047,-1.0287116246162,0.0125078939285895,0.0379621563846674,1936.66259932857,784.694624243723,1360.67861178614
"ENSG00000003436","TFPI","protein_coding","-","chr2",9.5166225110251,32.5454817261956,17.5269719035695,23.73009620251,21.5704719811437,45.1067763202346,0.662011983664688,0.107778507632288,0.157641746615715,16.2046887985794,33.79411808298,24.9994034407797
"ENSG00000003509","NDUFAF7","protein_coding","+","chr2",242.719860232497,98.9811103513224,205.880132154552,122.974424031274,322.565436672702,149.633256839207,-0.886509151343432,0.00984242867875612,0.0330664864608512,257.055143019917,123.862930407268,190.459036713592
"ENSG00000003756","RBM5","protein_coding","+","chr3",642.870984893976,279.012073569977,780.990771633231,358.761059489671,1162.86746384953,566.245283571717,-0.925768417243769,0.00845042665486878,0.0305419289664633,862.243073458913,401.339472210455,631.791272834684
"ENSG00000004059","ARF5","protein_coding","+","chr7",63.7524414608491,23.0930337024318,148.163752082459,55.5537404333126,250.238176879379,100.822416524715,-0.992377591276428,0.024082988104622,0.0568683782736306,154.051456807562,59.8230635534863,106.937260180524
"ENSG00000004139","SARM1","protein_coding","+","chr17",395.90531332979,108.927168143496,389.403620240376,195.131094672328,748.810925226455,312.017277761579,-1.08955401471523,0.00532483499608845,0.0239648330513214,511.37328626554,205.358513525801,358.365899895671
"ENSG00000004142","POLDIP2","protein_coding","-","chr17",544.962205782803,198.162443245719,533.283631078452,285.602319645583,766.236335167605,383.814210042749,-0.924909854686826,0.00670266803927866,0.0269869021847761,614.827390676287,289.192990978017,452.010190827152
"ENSG00000004455","AK2","protein_coding","-","chr1",1295.01911161933,320.342014694558,1689.76693414819,644.01517885026,2202.03400489226,848.506145434404,-1.33539521808677,0.00045547741604646,0.00705384231919551,1728.94001688659,604.287779659741,1166.61389827317
"ENSG00000004468","CD38","protein_coding","+","chr4",24.9521631252078,21.9864406836821,118.426377076889,48.3478741027405,255.392347434711,140.239221066197,-0.496785502569339,0.205174542119735,0.260095449923586,132.923629212269,70.19117861754,101.557403914905
"ENSG00000004478","FKBP4","protein_coding","+","chr12",581.298482978465,298.168649982344,534.028517855375,289.07702322648,792.410360847778,341.507122722771,-0.903595688621262,0.0046149063478303,0.0223367145361865,635.912453893872,309.584265310532,472.748359602202
